 587: 1.016740, 0.984251 avg loss, 0.000237 rate, 5.031062 seconds, 75136 images
 592: 0.921969, 0.978023 avg loss, 0.000246 rate, 5.323116 seconds, 75776 images
 593: 1.029059, 0.983126 avg loss, 0.000247 rate, 4.984020 seconds, 75904 images
 594: 0.787999, 0.963614 avg loss, 0.000249 rate, 5.154714 seconds, 76032 images
 595: 0.956367, 0.962889 avg loss, 0.000251 rate, 5.165795 seconds, 76160 images
 600: 0.902619, 0.956862 avg loss, 0.000259 rate, 5.285042 seconds, 76800 images
 601: 0.835754, 0.944751 avg loss, 0.000261 rate, 3.073163 seconds, 76928 images
 602: 0.858118, 0.936088 avg loss, 0.000263 rate, 3.093216 seconds, 77056 images
 603: 0.921940, 0.934673 avg loss, 0.000264 rate, 2.970723 seconds, 77184 images
 608: 0.884773, 0.929683 avg loss, 0.000273 rate, 3.308138 seconds, 77824 images
 609: 0.746652, 0.911380 avg loss, 0.000275 rate, 2.915572 seconds, 77952 images
 610: 0.756709, 0.895913 avg loss, 0.000277 rate, 2.964456 seconds, 78080 images
 611: 0.807080, 0.887030 avg loss, 0.000279 rate, 2.948574 seconds, 78208 images
 616: 0.813908, 0.879717 avg loss, 0.000288 rate, 3.179291 seconds, 78848 images
 617: 0.774753, 0.869221 avg loss, 0.000290 rate, 2.895444 seconds, 78976 images
